章节,章节名称,单词,音标(美式音标),词性,中文意思
Lesson 23,Which glasses? 哪几只杯子？,desk,/desk/,n.,课桌
,,table,/ˈteɪbl/,n.,桌子
,,plate,/pleɪt/,n.,盘子
,,cupboard,/ˈkʌbərd/,n.,食橱
,,cigarette,/ˌsɪɡəˈret/,n.,香烟
,,television,/ˈtelɪvɪʒn/,n.,电视机
,,floor,/flɔːr/,n.,地板
,,dressing table,/ˈdresɪŋ ˈteɪbl/,n.,梳妆台
,,magazine,/ˈmæɡəziːn/,n.,杂志
,,bed,/bed/,n.,床
,,newspaper,/ˈnuːzpeɪpər/,n.,报纸
,,stereo,/ˈsterioʊ/,n.,立体声音响
Lesson 24,Give me/him/her/us/them some... 给我/他/她/我们/他们一些……,Mrs.,/ˈmɪsɪz/,n.,夫人
,,kitchen,/ˈkɪtʃɪn/,n.,厨房
,,refrigerator,/rɪˈfrɪdʒəreɪtər/,n.,电冰箱
,,right,/raɪt/,adv.,在右边
,,electric,/ɪˈlektrɪk/,adj.,带电的，可通电的
,,left,/left/,adv.,在左边
,,cooker,/ˈkʊkər/,n.,炉子，炊具
,,middle,/ˈmɪdl/,n.,中间
,,of,/ʌv/,prep.,(属于)……的
,,room,/ruːm/,n.,房间
Lesson 25,Mrs. Smith's kitchen 史密斯太太的厨房,where,/wer/,adv.,在哪里
,,in,/ɪn/,prep.,在……里
Lesson 26,Where is it? 它在哪里？,living room,/ˈlɪvɪŋ ruːm/,n.,客厅
,,near,/nɪr/,prep.,靠近
,,window,/ˈwɪndoʊ/,n.,窗户
,,armchair,/ˈɑːrmtʃer/,n.,扶手椅
,,door,/dɔːr/,n.,门
,,picture,/ˈpɪktʃər/,n.,图画
,,wall,/wɔːl/,n.,墙
Lesson 27,Mrs. Smith's living room 史密斯太太的客厅,trousers,/ˈtraʊzərz/,n.,(复数)长裤
Lesson 28,Where are they? 它们在哪里？,shut,/ʃʌt/,v.,关门
,,bedroom,/ˈbedruːm/,n.,卧室
,,untidy,/ʌnˈtaɪdi/,adj.,乱，不整齐
,,must,/mʌst/,modal verb,必须，应该
,,open,/ˈoʊpən/,v.,打开
,,air,/er/,v.,使……通风，换换空气
,,put,/pʊt/,v.,放置
,,clothes,/kloʊðz/,n.,衣服
,,wardrobe,/ˈwɔːrdroʊb/,n.,大衣柜
,,dust,/dʌst/,v.,掸掉灰尘
,,sweep,/swiːp/,v.,扫
Lesson 29,Come in, Amy. 进来，艾米,empty,/ˈempti/,v.,倒空，使……变空
,,read,/riːd/,v.,读
,,sharpen,/ˈʃɑːrpən/,v.,削尖，使锋利
,,put on,/ˈpʊt ɑːn/,phrase,穿上
,,take off,/ˈteɪk ɔːf/,phrase,脱掉
,,turn on,/ˈtɜːrn ɑːn/,phrase,开(电灯)
,,turn off,/ˈtɜːrn ɔːf/,phrase,关(电灯)
Lesson 30,What must I do? 我应该做什么？,the,/ðə/,art.,这个，那个
,,garden,/ˈɡɑːrdn/,n.,花园
,,under,/ˈʌndər/,prep.,在……之下
,,tree,/triː/,n.,树
,,climb,/klaɪm/,v.,爬，攀登
,,who,/huː/,pron.,谁
,,run,/rʌn/,v.,跑
,,grass,/ɡræs/,n.,草，草地
,,after,/ˈæftər/,prep.,在……之后
,,cat,/kæt/,n.,猫
Lesson 31,Where's Sally? 萨莉在哪里？,type,/taɪp/,v.,打字
,,letter,/ˈletər/,n.,信
,,basket,/ˈbæskɪt/,n.,篮子
,,eat,/iːt/,v.,吃
,,bone,/boʊn/,n.,骨头
,,clean,/kliːn/,v.,清洗
,,tooth,/tuːθ/,n.,牙齿
,,cook,/kʊk/,v.,做(饭菜)
,,milk,/mɪlk/,v.,挤奶
,,meal,/miːl/,n.,饭，一顿饭
,,drink,/drɪŋk/,v.,喝
,,tap,/tæp/,n.,(水)龙头
Lesson 32,What's he/she/it doing? 他/她/它正在做什么？,day,/deɪ/,n.,日子
,,cloud,/klaʊd/,n.,云
,,sky,/skaɪ/,n.,天空
,,sun,/sʌn/,n.,太阳
,,shine,/ʃaɪn/,v.,照耀
,,with,/wɪð/,prep.,和……在一起
,,family,/ˈfæməli/,n.,家庭(成员)
,,walk,/wɔːk/,v.,走路，步行
,,over,/ˈoʊvər/,prep.,跨越，在……之上
,,bridge,/brɪdʒ/,n.,桥
,,boat,/boʊt/,n.,船
,,river,/ˈrɪvər/,n.,河
,,ship,/ʃɪp/,n.,轮船
,,aeroplane,/ˈerəpleɪn/,n.,飞机
,,fly,/flaɪ/,v.,飞
Lesson 33,A fine day 晴天,sleep,/sliːp/,v.,睡觉
,,shave,/ʃeɪv/,v.,刮脸
,,cry,/kraɪ/,v.,哭，喊
,,wash,/wɑːʃ/,v.,洗
,,wait,/weɪt/,v.,等
,,jump,/dʒʌmp/,v.,跳
Lesson 34,What are they doing? 他们在做什么？,photograph,/ˈfoʊtəɡræf/,n.,照片
,,village,/ˈvɪlɪdʒ/,n.,村庄
,,valley,/ˈvæli/,n.,山谷
,,between,/bɪˈtwiːn/,prep.,在……之间
,,hill,/hɪl/,n.,小山
,,another,/əˈnʌðər/,det.,另一个
,,wife,/waɪf/,n.,妻子
,,along,/əˈlɔːŋ/,prep.,沿着
,,bank,/bæŋk/,n.,河岸
,,water,/ˈwɔːtər/,n.,水
,,swim,/swɪm/,v.,游泳
,,building,/ˈbɪldɪŋ/,n.,大楼，建筑物
,,park,/pɑːrk/,n.,公园
,,into,/ˈɪntuː/,prep.,进入
Lesson 35,Our village 我们的村庄,beside,/bɪˈsaɪd/,prep.,在……旁
,,off,/ɔːf/,prep.,离开
,,work,/wɜːrk/,v.,工作
,,hard,/hɑːrd/,adv.,努力地
,,make,/meɪk/,v.,做
,,bookcase,/ˈbʊkkeɪs/,n.,书橱，书架
,,hammer,/ˈhæmər/,n.,锤子
,,paint,/peɪnt/,v.,上漆，涂
,,pink,/pɪŋk/,n.&adj.,粉红色
,,favourite,/ˈfeɪvərɪt/,adj.,最喜欢的
Lesson 36,Where...? ……在哪里？,homework,/ˈhoʊmwɜːrk/,n.,作业
,,listen,/ˈlɪsn/,v.,听
,,dish,/dɪʃ/,n.,盘子，碟子
Lesson 37,Making a bookcase 做书架,front,/frʌnt/,n.,前面
,,in front of,/ɪn frʌnt əv/,phrase,在……之前
,,careful,/ˈkerfl/,adj.,小心的，仔细的
,,vase,/veɪz/,n.,花瓶
,,drop,/drɑːp/,v.,掉下
,,flower,/ˈflaʊər/,n.,花
Lesson 38,What are you going to do? 你准备做什么？,show,/ʃoʊ/,v.,给……看
,,send,/send/,v.,送给
,,take,/teɪk/,v.,带给
Lesson 39,Don't drop it! 别摔了！,cheese,/tʃiːz/,n.,乳酪，干酪
,,bread,/bred/,n.,面包
,,soap,/soʊp/,n.,肥皂
,,chocolate,/ˈtʃɑːklət/,n.,巧克力
,,sugar,/ˈʃʊɡər/,n.,糖
,,coffee,/ˈkɔːfi/,n.,咖啡
,,tea,/tiː/,n.,茶
,,tobacco,/təˈbækoʊ/,n.,烟草，烟丝
Lesson 40,What are you going to do? 你准备做什么？,bird,/bɜːrd/,n.,鸟
,,any,/ˈeni/,det.,一些
,,some,/sʌm/,det.,一些
,,of course,/əv kɔːrs/,phrase,当然
,,kettle,/ˈketl/,n.,水壶
,,behind,/bɪˈhaɪnd/,prep.,在……后面
,,teapot,/ˈtiːpɑːt/,n.,茶壶
,,now,/naʊ/,adv.,现在，此刻
,,find,/faɪnd/,v.,找到
,,boil,/bɔɪl/,v.,沸腾，开
Lesson 41,Penny's bag 彭妮的提包,can,/kæn/,modal verb,能够
,,boss,/bɔːs/,n.,老板，上司
,,minute,/ˈmɪnɪt/,n.,分(钟)
,,ask,/æsk/,v.,请求，要求
,,handwriting,/ˈhændraɪtɪŋ/,n.,书写
,,terrible,/ˈterəbl/,adj.,糟糕的，可怕的
Lesson 42,Is there a...? 有一个……吗？,lift,/lɪft/,v.,拿起，搬起，举起
,,cake,/keɪk/,n.,饼，蛋糕
,,biscuit,/ˈbɪskɪt/,n.,饼干
Lesson 43,Hurry up! 快点！,like,/laɪk/,v.,喜欢，想要
,,want,/wɑːnt/,v.,想
Lesson 44,Are there any...? 有……吗？,fresh,/freʃ/,adj.,新鲜的
,,egg,/eɡ/,n.,鸡蛋
,,butter,/ˈbʌtər/,n.,黄油
,,pure,/pjʊr/,adj.,纯净的
,,honey,/ˈhʌni/,n.,蜂蜜
,,ripe,/raɪp/,adj.,成熟的
,,jam,/dʒæm/,n.,果酱
,,sweet,/swiːt/,adj.,甜的
,,orange,/ˈɔːrɪndʒ/,n.,橙
,,Scotch whisky,/ˌskɑːtʃ ˈwɪski/,n.,苏格兰威士忌
,,choice,/tʃɔɪs/,adj.,上等的，精选的
,,apple,/ˈæpl/,n.,苹果
,,wine,/waɪn/,n.,酒，果酒
,,beer,/bɪr/,n.,啤酒
,,blackboard,/ˈblækbɔːrd/,n.,黑板
Lesson 45,The boss's letter 老板的信,butcher,/ˈbʊtʃər/,n.,卖肉的
,,meat,/miːt/,n.,(食用)肉
,,beef,/biːf/,n.,牛肉
,,lamb,/læm/,n.,羔羊肉
,,husband,/ˈhʌzbənd/,n.,丈夫
,,steak,/steɪk/,n.,牛排
,,mince,/mɪns/,n.,肉馅，绞肉
,,chicken,/ˈtʃɪkɪn/,n.,鸡
,,tell,/tel/,v.,告诉
,,truth,/truːθ/,n.,实情
,,either,/ˈaɪðər/,adv.,也(用于否定句)
,,tomato,/təˈmeɪtoʊ/,n.,西红柿
,,potato,/pəˈteɪtoʊ/,n.,土豆
,,cabbage,/ˈkæbɪdʒ/,n.,卷心菜
,,lettuce,/ˈletɪs/,n.,莴苣
,,pea,/piː/,n.,豌豆
,,bean,/biːn/,n.,豆角
,,pear,/per/,n.,梨
,,grape,/ɡreɪp/,n.,葡萄
,,peach,/piːtʃ/,n.,桃
Lesson 46,A cup of coffee 一杯咖啡,Greece,/ɡriːs/,n.,希腊
,,climate,/ˈklaɪmət/,n.,气候
,,country,/ˈkʌntri/,n.,国家
,,pleasant,/ˈpleznt/,adj.,宜人的
,,weather,/ˈweðər/,n.,天气
,,spring,/sprɪŋ/,n.,春季
,,windy,/ˈwɪndi/,adj.,有风的
,,warm,/wɔːrm/,adj.,温暖的
,,rain,/reɪn/,v.,下雨
,,sometimes,/ˈsʌmtaɪmz/,adv.,有时
,,summer,/ˈsʌmər/,n.,夏天
,,autumn,/ˈɔːtəm/,n.,秋天
,,winter,/ˈwɪntər/,n.,冬天
,,snow,/snoʊ/,v.,下雪
,,January,/ˈdʒænjueri/,n.,一月
,,February,/ˈfebrueri/,n.,二月
,,March,/mɑːrtʃ/,n.,三月
,,April,/ˈeɪprəl/,n.,四月
,,May,/meɪ/,n.,五月
,,June,/dʒuːn/,n.,六月
,,July,/dʒuˈlaɪ/,n.,七月
,,August,/ˈɔːɡəst/,n.,八月
,,September,/sepˈtembər/,n.,九月
,,October,/ɑːkˈtoʊbər/,n.,十月
,,November,/noʊˈvembər/,n.,十一月
,,December,/dɪˈsembər/,n.,十二月
Lesson 47,A cup of coffee 一杯咖啡,the U.S.,/ðə juː ˈes/,n.,美国
,,Brazil,/brəˈzɪl/,n.,巴西
,,Holland,/ˈhɑːlənd/,n.,荷兰
,,England,/ˈɪŋɡlənd/,n.,英国
,,France,/fræns/,n.,法国
,,Germany,/ˈdʒɜːrməni/,n.,德国
,,Italy,/ˈɪtəli/,n.,意大利
,,Norway,/ˈnɔːrweɪ/,n.,挪威
,,Russia,/ˈrʌʃə/,n.,俄罗斯
,,Spain,/speɪn/,n.,西班牙
,,Sweden,/ˈswiːdn/,n.,瑞典
Lesson 48,Do you like...? 你喜欢……吗？,mild,/maɪld/,adj.,温和的，温暖的
,,always,/ˈɔːlweɪz/,adv.,总是
,,north,/nɔːrθ/,n.,北方
,,east,/iːst/,n.,东方
,,wet,/wet/,adj.,潮湿的
,,west,/west/,n.,西方
,,south,/saʊθ/,n.,南方
,,season,/ˈsiːzn/,n.,季节
,,best,/best/,adv.,最
,,night,/naɪt/,n.,夜晚
,,rise,/raɪz/,v.,升起
,,early,/ˈɜːrli/,adv.,早
,,set,/set/,v.,(太阳)落下去
,,late,/leɪt/,adv.,晚，迟
,,interesting,/ˈɪntrəstɪŋ/,adj.,有趣的，有意思的
,,subject,/ˈsʌbdʒekt/,n.,话题
,,conversation,/ˌkɑːnvərˈseɪʃn/,n.,谈话
Lesson 49,At the butcher's 在肉店,Australia,/ɔːˈstreɪliə/,n.,澳大利亚
,,Australian,/ɔːˈstreɪliən/,adj.&n.,澳大利亚的；澳大利亚人
,,Austria,/ˈɔːstriə/,n.,奥地利
,,Austrian,/ˈɔːstriən/,adj.&n.,奥地利的；奥地利人
,,Canada,/ˈkænədə/,n.,加拿大
,,Canadian,/kəˈneɪdiən/,adj.&n.,加拿大的；加拿大人
,,China,/ˈtʃaɪnə/,n.,中国
,,Finland,/ˈfɪnlənd/,n.,芬兰
,,Finnish,/ˈfɪnɪʃ/,adj.&n.,芬兰的；芬兰人
,,India,/ˈɪndiə/,n.,印度
,,Indian,/ˈɪndiən/,adj.&n.,印度的；印度人
,,Japan,/dʒəˈpæn/,n.,日本
,,Nigeria,/naɪˈdʒɪriə/,n.,尼日利亚
,,Nigerian,/naɪˈdʒɪriən/,adj.&n.,尼日利亚的；尼日利亚人
,,Turkey,/ˈtɜːrki/,n.,土耳其
,,Turkish,/ˈtɜːrkɪʃ/,adj.&n.,土耳其的；土耳其人
,,Korea,/kəˈriə/,n.,韩国
,,Polish,/ˈpoʊlɪʃ/,adj.&n.,波兰的；波兰人
,,Poland,/ˈpoʊlənd/,n.,波兰
,,Thai,/taɪ/,adj.&n.,泰国的；泰国人
,,Thailand,/ˈtaɪlænd/,n.,泰国
Lesson 50,He likes... 他喜欢……,live,/lɪv/,v.,住，生活
,,stay,/steɪ/,v.,呆在，停留
,,home,/hoʊm/,n.,家；adv.,在家
,,housework,/ˈhaʊswɜːrk/,n.,家务
,,lunch,/lʌntʃ/,n.,午饭
,,afternoon,/ˌæftərˈnuːn/,n.,下午
,,usually,/ˈjuːʒuəli/,adv.,通常
,,together,/təˈɡeðər/,adv.,一起
,,evening,/ˈiːvnɪŋ/,n.,晚上
,,arrive,/əˈraɪv/,v.,到达
,,night,/naɪt/,n.,夜间
Lesson 51,A pleasant climate 宜人的气候,o'clock,/əˈklɑːk/,adv.,点钟
,,shop,/ʃɑːp/,n.,商店
,,moment,/ˈmoʊmənt/,n.,片刻，瞬间
Lesson 52,What nationality are they? 他们是哪国人？,envelope,/ˈenvəloʊp/,n.,信封
,,writing paper,/ˈraɪtɪŋ ˈpeɪpər/,n.,信纸
,,shop assistant,/ˈʃɑːp əˈsɪstənt/,n.,售货员
,,size,/saɪz/,n.,尺寸，尺码，大小
,,pad,/pæd/,n.,信笺簿
,,glue,/ɡluː/,n.,胶水
,,chalk,/tʃɔːk/,n.,粉笔
,,change,/tʃeɪndʒ/,n.,零钱，找给的钱
Lesson 53,An interesting climate 有趣的气候,feel,/fiːl/,v.,感觉
,,look,/lʊk/,v.,看(起来)
,,must,/mʌst/,modal verb,必须
,,call,/kɔːl/,v.,叫，请
,,doctor,/ˈdɑːktər/,n.,医生
,,telephone,/ˈtelɪfoʊn/,n.,电话
,,remember,/rɪˈmembər/,v.,记得，记住
,,mouth,/maʊθ/,n.,嘴
,,tongue,/tʌŋ/,n.,舌头
,,bad,/bæd/,adj.,坏的，严重的
,,cold,/koʊld/,n.,感冒
,,news,/nuːz/,n.,消息
,,headache,/ˈhedeɪk/,n.,头痛
,,aspirin,/ˈæsprɪn/,n.,阿斯匹林
,,earache,/ˈɪreɪk/,n.,耳痛
,,toothache,/ˈtuːθeɪk/,n.,牙痛
,,dentist,/ˈdentɪst/,n.,牙医
,,stomach ache,/ˈstʌmək eɪk/,n.,胃痛
,,medicine,/ˈmedsn/,n.,药
,,temperature,/ˈtemprətʃər/,n.,温度
,,flu,/fluː/,n.,流行性感冒
,,measles,/ˈmiːzlz/,n.,麻疹
,,mumps,/mʌmps/,n.,腮腺炎
Lesson 54,What nationality are they? 他们是哪国人？,better,/ˈbetər/,adj.,形容词well的比较级
,,certainly,/ˈsɜːrtnli/,adv.,当然
,,get up,/ˈɡet ʌp/,phrase,起床
,,yet,/jet/,adv.,还，仍
,,rich,/rɪtʃ/,adj.,油腻的
,,food,/fuːd/,n.,食物
,,remain,/rɪˈmeɪn/,v.,保持，继续
,,play,/pleɪ/,v.,玩
,,match,/mætʃ/,n.,火柴
,,talk,/tɔːk/,v.,谈话
,,library,/ˈlaɪbreri/,n.,图书馆
,,drive,/draɪv/,v.,开车
,,so,/soʊ/,adv.,如此地
,,quickly,/ˈkwɪkli/,adv.,快地
,,lean out of,/liːn aʊt əv/,phrase,身体探出
,,break,/breɪk/,v.,打破
,,noise,/nɔɪz/,n.,喧闹声
Lesson 55,The Sawyer family 索耶一家人,key,/kiː/,n.,钥匙
,,baby,/ˈbeɪbi/,n.,婴儿
,,hear,/hɪr/,v.,听见
,,enjoy,/ɪnˈdʒɔɪ/,v.,玩得快活
,,yourself,/jɔːrˈself/,pron.,你自己
,,ourselves,/aʊərˈselvz/,pron.,我们自己
,,myself,/maɪˈself/,pron.,我自己
,,themselves,/ðəmˈselvz/,pron.,他们自己
,,himself,/hɪmˈself/,pron.,他自己
,,herself,/hɜːrˈself/,pron.,她自己
Lesson 56,What do they usually do? 他们通常做什么？,green,/ɡriːn/,adj.,绿色
,,come,/kʌm/,v.,来
,,upstairs,/ˌʌpˈsterz/,adv.,楼上
,,smart,/smɑːrt/,adj.,时髦的，巧妙的
,,hat,/hæt/,n.,帽子
,,same,/seɪm/,adj.,相同的
,,lovely,/ˈlʌvli/,adj.,可爱的，秀丽的
